Product,RowId,Unit,PackageType,ContentQty,X,Y,Z,Weight
381354,561702,0,1,1,34.2,13.1,49.9,3.854
381363,561717,0,1,1,49.5,34,12.5,4.051
381386,561740,0,1,1,17.9,5.9,14.8,0.14
381394,561748,0,1,1,6.7,1.7,8.4,0.018
381426,561780,0,1,1,51,7,12,0.74
381426,571622,1,1,5,53,14.5,40.5,4.41
381605,562000,0,1,1,4.5,2,48.3,0.118
381655,562087,0,1,1,14.2,5,19.1,0.2
381655,565094,1,1,6,30,16,20,1.298
381732,562266,0,1,1,8.5,4.4,17.1,0.18
381732,718102,1,1,24,37.5,18,15,4.62
381733,562267,0,1,1,8,3.2,19.5,0.182
381734,562268,0,1,1,8.1,5.1,18.1,0.182
381734,718101,1,1,24,37.5,18,15,4.68
381735,562269,0,1,1,8.2,4.9,17.7,0.178
381735,718100,1,1,24,37.5,18,15,4.61
381736,562270,0,1,1,8.1,5.1,18.3,0.182
381738,562272,0,1,1,13.6,12.2,39.3,1.086
381798,562396,0,1,1,37,25,15,0.852
381825,562447,0,1,1,34.6,20.5,15.4,0.646
381826,562448,0,1,1,38,25,15,1.409
381906,562651,0,1,1,14.4,31.6,18.3,0.206
381906,566365,1,1,12,22,42,32,3.25
381934,562713,0,1,1,23,1.3,4,0.029
382070,562850,0,1,1,16.7,6.5,17.9,0.134
382095,562875,0,1,1,31.2,17,25.1,0.866
382098,562878,0,1,1,25.4,17.3,20.5,0.902
383878,564660,0,1,1,21.4,6.9,15.3,0.248
383878,567188,1,1,10,34,23,32,2.587
384030,566131,0,1,1,33.8,13.5,12.4,0.794
384031,566132,0,1,1,33.9,13.6,11.9,0.782
384032,566133,0,1,1,34.1,14,12.2,0.85
384033,566134,0,1,1,33.9,13.8,11.4,0.848
384229,566361,0,1,1,9.6,2.2,8.5,0.032
384246,566431,0,2,1,62,51,62,21
384251,566436,0,1,1,9.9,10.8,9.9,0.584
384251,569878,1,1,18,33.9,25.1,24.9,7.476
384268,566453,0,1,1,26,8,19,0.623
384313,566505,0,1,1,9.5,4.5,14.5,0.142
384313,574897,1,1,24,27.2,14.8,38.2,4.1
